tanggal,kecamatan,volume_ton,jenis_sampah,sumber_sampah
2024-01-01,CAKUNG,205.94,B3,Taman Kota
2024-01-01,CEMPAKA PUTIH,31.08,Anorganik,Komersial
2024-01-01,CENGKARENG,173.16,Organik,Rumah Tangga
2024-01-01,CILANDAK,259.83,Organik,Pasar
2024-01-01,CILINCING,338.07,Organik,Komersial
2024-01-01,CIPAYUNG,288.99,B3,Taman Kota
2024-01-01,CIRACAS,225.7,Residu,Rumah Tangga
2024-01-01,DUREN SAWIT,131.62,Residu,Rumah Tangga
2024-01-01,GAMBIR,102.88,Residu,Taman Kota
2024-01-01,GROGOL PETAMBURAN,185.92,Organik,Taman Kota
2024-01-01,JAGAKARSA,113.04,B3,Pasar
2024-01-01,JATINEGARA,123.31,Anorganik,Komersial
2024-01-01,JOHAR BARU,219.14,Organik,Taman Kota
2024-01-01,KALIDERES,96.22,Organik,Taman Kota
2024-01-01,KEBAYORAN BARU,181.8,B3,Komersial
2024-01-01,KEBAYORAN LAMA,210.18,Organik,Industri Kecil
2024-01-01,KEBON JERUK,139.12,Organik,Pasar
2024-01-01,KELAPA GADING,195.6,B3,Rumah Tangga
2024-01-01,KEMAYORAN,258.09,Residu,Industri Kecil
2024-01-01,KEMBANGAN,64.28,Residu,Pasar
2024-01-01,KEPULAUAN SERIBU SELATAN,157.11,Residu,Komersial
2024-01-01,KEPULAUAN SERIBU UTARA,160.41,Residu,Rumah Tangga
2024-01-01,KOJA,92.86,B3,Pasar
2024-01-01,KRAMATJATI,48.57,Organik,Industri Kecil
2024-01-01,MAKASAR,190.74,B3,Pasar
2024-01-01,MAMPANG PRAPATAN,39.49,Organik,Komersial
2024-01-01,MATRAMAN,169.0,B3,Taman Kota
2024-01-01,MENTENG,41.24,Residu,Komersial
2024-01-01,PADEMANGAN,226.52,Anorganik,Taman Kota
2024-01-01,PAL MERAH,161.99,Organik,Komersial
2024-01-01,PANCORAN,157.58,B3,Komersial
2024-01-01,PASAR MINGGU,280.64,Anorganik,Komersial
2024-01-01,PASAR REBO,247.13,B3,Taman Kota
2024-01-01,PENJARINGAN,197.6,Organik,Industri Kecil
2024-01-01,PESANGGRAHAN,116.68,Anorganik,Pasar
2024-01-01,PULOGADUNG,126.26,Residu,Rumah Tangga
2024-01-01,SAWAH BESAR,152.31,Anorganik,Pasar
2024-01-01,SENEN,101.55,Residu,Taman Kota
2024-01-01,SETIABUDI,79.32,B3,Industri Kecil
2024-01-01,TAMAN SARI,116.96,Residu,Komersial
2024-01-01,TAMBORA,459.51,B3,Taman Kota
2024-01-01,TANAH ABANG,80.36,Anorganik,Taman Kota
2024-01-01,TANJUNG PRIOK,176.72,Residu,Pasar
2024-01-01,TEBET,296.76,Anorganik,Komersial
2024-01-02,CAKUNG,103.79,Residu,Industri Kecil
2024-01-02,CEMPAKA PUTIH,26.56,B3,Komersial
2024-01-02,CENGKARENG,157.65,Organik,Pasar
2024-01-02,CILANDAK,331.62,Anorganik,Pasar
2024-01-02,CILINCING,118.38,Anorganik,Komersial
2024-01-02,CIPAYUNG,234.23,B3,Pasar
